player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
2544,2025,1610612747,70,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782,34.9,3.7,0.5
101108,2025,1610612759,82,8.8,3.6,7.4,1.3,0.3,0.427,0.377,0.924,28.0,1.6,0.2
200768,2025,1610612755,35,3.9,1.9,2.7,0.9,0.3,0.35,0.33,0.818,18.8,0.6,0.3
200782,2025,1610612752,3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,0.0,19.3,0.3,2.0
201142,2025,1610612756,62,26.6,6.0,4.2,0.8,1.2,0.527,0.43,0.839,36.5,3.1,0.6
201143,2025,1610612738,60,9.0,6.2,2.1,0.6,0.9,0.423,0.363,0.895,27.6,0.8,0.3
201144,2025,1610612750,71,8.2,2.6,4.5,1.1,0.2,0.4,0.41,0.9,24.7,1.1,0.2
201145,2025,1610612745,32,5.4,1.8,0.6,0.2,0.1,0.504,0.367,0.808,12.4,0.3,0.2
201566,2025,1610612743,75,13.3,4.9,6.1,1.4,0.5,0.449,0.323,0.661,27.9,3.2,0.3
201567,2025,1610612748,23,5.3,4.1,1.0,0.7,0.2,0.357,0.358,0.696,10.9,0.6,0.5
201569,2025,1610612755,39,6.8,1.2,1.7,0.7,0.3,0.426,0.409,0.75,19.7,0.7,0.3
201572,2025,1610612749,80,13.0,5.0,1.8,0.6,1.9,0.509,0.373,0.826,31.8,1.1,0.3
201587,2025,1610612746,78,4.0,2.8,1.1,0.7,0.5,0.437,0.433,0.81,17.5,0.4,0.1
201599,2025,1610612743,56,3.7,5.1,0.9,0.3,0.5,0.65,0.0,0.422,12.3,0.7,0.2
201935,2025,1610612746,79,22.8,5.8,8.7,1.5,0.7,0.41,0.352,0.874,35.3,4.3,0.4
201939,2025,1610612744,70,24.5,4.4,6.0,1.1,0.4,0.448,0.397,0.933,32.2,2.9,0.5
201942,2025,1610612758,77,22.2,3.9,4.4,0.8,0.4,0.477,0.328,0.857,35.9,1.4,0.4
201949,2025,1610612754,12,0.7,0.5,0.3,0.0,0.2,0.364,0.0,0.0,3.1,0.3,0.1
201950,2025,1610612738,62,11.1,4.3,3.9,1.1,0.4,0.443,0.353,0.909,30.6,1.2,0.3
201959,2025,1610612766,37,2.9,3.2,0.6,0.2,0.5,0.495,0.5,0.6,11.1,0.7,0.2
201988,2025,1610612746,29,3.8,0.8,0.9,0.4,0.1,0.375,0.347,0.929,11.1,0.6,0.2
202066,2025,1610612761,28,1.9,1.0,1.1,0.6,0.1,0.3,0.214,0.917,8.1,0.4,0.2
202331,2025,1610612755,41,16.2,5.3,4.3,1.8,0.5,0.43,0.358,0.814,32.5,2.6,0.6
202681,2025,1610612742,50,24.7,4.8,4.6,1.3,0.5,0.473,0.401,0.916,36.1,2.2,0.7
202684,2025,1610612739,40,1.7,3.4,0.6,0.1,0.3,0.437,0.0,0.233,8.2,0.4,0.1
202685,2025,1610612758,81,10.4,7.7,2.0,0.5,0.6,0.55,0.216,0.879,18.8,1.5,0.2
202687,2025,1610612759,28,5.1,5.6,1.1,0.6,0.8,0.588,0.0,0.4,18.8,1.0,0.4
202691,2025,1610612742,72,14.0,3.4,2.0,0.7,0.4,0.412,0.391,0.905,27.3,1.2,0.3
202692,2025,1610612748,49,7.3,2.5,1.1,0.6,0.1,0.424,0.425,0.776,17.6,0.6,0.2
202693,2025,1610612747,15,3.7,1.5,1.4,0.1,0.2,0.3,0.25,0.833,11.0,0.3,0.4
202695,2025,1610612746,37,21.5,5.9,3.1,1.6,0.5,0.498,0.411,0.81,31.9,1.9,0.8
202696,2025,1610612741,73,18.5,10.1,3.5,0.8,0.7,0.53,0.402,0.805,31.2,1.6,0.4
202699,2025,1610612765,73,13.7,5.9,2.2,1.0,0.8,0.477,0.345,0.861,31.6,1.2,0.3
202704,2025,1610612755,31,4.4,1.4,1.5,0.5,0.1,0.391,0.338,0.778,12.4,0.5,0.2
202709,2025,1610612753,50,3.5,1.5,1.4,0.5,0.1,0.403,0.364,0.778,12.2,0.4,0.1
202710,2025,1610612744,55,17.5,5.4,5.4,1.4,0.3,0.504,0.308,0.842,31.7,1.3,0.5
203076,2025,1610612742,51,24.7,11.6,3.5,1.2,2.2,0.516,0.282,0.775,33.4,2.2,0.8
203078,2025,1610612756,53,17.0,3.3,3.7,1.1,0.5,0.497,0.386,0.803,32.1,1.9,0.4
203081,2025,1610612749,58,24.9,4.7,7.1,1.2,0.2,0.448,0.376,0.921,36.1,2.8,0.6
203083,2025,1610612755,40,7.3,7.8,0.9,1.0,0.5,0.5,0.15,0.622,18.8,1.4,0.4
203084,2025,1610612759,82,12.3,3.8,1.7,0.5,0.2,0.508,0.433,0.809,27.2,0.6,0.2
203109,2025,1610612758,9,2.6,2.2,0.7,0.3,0.0,0.318,0.267,0.833,11.4,0.4,0.6
203110,2025,1610612744,68,9.0,6.1,5.6,1.5,1.0,0.424,0.325,0.687,29.2,2.6,0.3
203114,2025,1610612764,37,11.9,3.7,4.1,0.9,0.2,0.475,0.361,0.857,22.8,1.5,0.5
203458,2025,1610612747,46,1.6,2.1,0.8,0.2,0.5,0.508,0.222,0.471,8.3,0.4,0.1
203468,2025,1610612740,56,21.1,3.8,4.1,0.8,0.4,0.444,0.373,0.717,32.7,1.9,0.5
203471,2025,1610612765,75,13.1,2.6,5.4,0.9,0.2,0.406,0.342,0.838,28.1,1.9,0.3
203482,2025,1610612740,44,8.7,4.7,2.9,0.8,0.4,0.5,0.418,0.769,20.2,1.7,0.4
203484,2025,1610612753,77,8.7,2.2,1.8,1.3,0.4,0.439,0.342,0.863,29.6,0.8,0.2
203486,2025,1610612756,74,4.5,6.1,1.8,0.4,0.6,0.619,0.0,0.648,17.6,0.8,0.2
203497,2025,1610612750,72,12.0,10.9,1.8,0.8,1.4,0.669,0.0,0.674,33.2,1.2,0.4
203500,2025,1610612745,58,3.9,5.6,1.1,0.4,0.5,0.545,0.0,0.462,13.7,0.9,0.2
203501,2025,1610612765,77,11.0,2.4,1.6,0.5,0.1,0.406,0.368,0.855,28.0,0.6,0.2
203507,2025,1610612749,67,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,34.2,3.1,0.7
203552,2025,1610612766,68,6.5,1.7,0.9,0.4,0.1,0.478,0.456,0.846,15.6,0.5,0.1
203897,2025,1610612758,74,23.3,4.3,4.2,0.8,0.2,0.511,0.446,0.825,35.2,2.8,0.4
203901,2025,1610612740,24,3.5,3.3,6.9,1.0,0.5,0.328,0.167,0.571,21.3,2.5,0.5
203903,2025,1610612762,37,16.2,3.2,3.7,0.8,0.2,0.408,0.362,0.797,26.0,2.3,0.6
203914,2025,1610612753,48,3.0,1.3,0.6,0.5,0.3,0.383,0.356,0.583,14.8,0.4,0.1
203915,2025,1610612742,79,11.0,2.6,4.4,0.9,0.2,0.416,0.334,0.802,27.0,1.3,0.2
203924,2025,1610612757,47,14.4,3.5,2.1,0.9,1.0,0.373,0.365,0.849,32.4,1.4,0.4
203926,2025,1610612758,42,3.5,0.5,0.2,0.1,0.0,0.427,0.436,0.6,8.1,0.1,0.1
203932,2025,1610612743,51,14.7,4.8,3.2,0.5,0.3,0.531,0.436,0.81,28.4,1.4,0.4
203935,2025,1610612764,34,9.0,2.1,3.2,1.1,0.3,0.393,0.348,0.761,20.0,1.6,0.4
203937,2025,1610612748,61,5.9,3.4,2.4,0.7,0.5,0.469,0.357,0.738,16.4,0.6,0.2
203939,2025,1610612742,55,2.1,2.1,1.0,0.3,0.4,0.689,0.4,0.651,10.0,0.3,0.1
203944,2025,1610612750,69,18.7,7.1,4.7,0.7,0.2,0.485,0.344,0.806,32.3,2.8,0.4
203952,2025,1610612748,60,18.0,4.5,2.6,1.0,0.8,0.448,0.374,0.763,30.7,1.7,0.4
203954,2025,1610612755,19,23.8,8.2,4.5,0.7,0.9,0.444,0.299,0.882,30.2,3.3,1.8
203957,2025,1610612742,20,8.7,1.7,2.8,0.6,0.2,0.478,0.434,0.742,18.6,1.1,0.6
