player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
2207,2022,1610612738,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
2544,2021,1610612747,45,25.0,7.7,7.8,1.1,0.6,0.513,0.365,0.698,33.4,3.7,0.9
2544,2022,1610612747,56,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,37.2,3.5,0.8
2544,2023,1610612747,55,28.9,8.3,6.8,0.9,0.6,0.5,0.321,0.768,35.5,3.2,0.8
2544,2024,1610612747,71,25.7,7.3,8.3,1.3,0.5,0.54,0.41,0.75,35.3,3.5,0.6
2544,2025,1610612747,70,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782,34.9,3.7,0.5
2546,2021,1610612757,69,13.4,3.1,1.5,0.7,0.6,0.421,0.409,0.89,24.5,0.9,0.3
2546,2022,1610612747,69,13.3,4.2,1.0,0.7,0.8,0.441,0.375,0.83,26.0,0.9,0.3
2617,2021,1610612748,1,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7,0.0,5.0
2617,2022,1610612748,13,2.5,1.9,0.3,0.1,0.1,0.452,0.25,1.0,6.4,0.4,0.3
2617,2023,1610612748,7,3.9,1.6,0.0,0.1,0.3,0.345,0.333,0.8,10.3,0.1,0.8
2730,2021,1610612755,69,7.0,8.4,0.9,0.4,0.9,0.587,0.25,0.576,17.3,1.6,0.2
2730,2022,1610612747,60,6.2,5.9,0.6,0.6,0.6,0.612,0.533,0.658,16.2,0.8,0.2
2738,2021,1610612748,63,4.4,3.5,2.3,0.9,0.6,0.383,0.33,0.658,21.3,1.1,0.2
2738,2022,1610612744,31,4.0,3.2,3.7,0.9,0.7,0.38,0.23,0.75,19.4,0.9,0.4
2738,2023,1610612744,8,2.1,2.1,2.4,0.5,0.4,0.467,0.111,0.667,14.1,1.1,0.8
