team_id,team_name,season,wins,losses,win_pct,ppg,oppg,rpg,apg,spg,bpg,tpg,fg_pct,fg3_pct,ft_pct
1610612737,Atlanta Hawks,2025,40,42,0.488,118.2,119.3,44.5,29.6,9.7,5.1,15.5,0.472,0.358,0.775
1610612738,Boston Celtics,2025,61,21,0.744,116.3,107.2,45.3,26.1,7.2,5.5,11.9,0.462,0.368,0.799
1610612739,Cleveland Cavaliers,2025,64,18,0.78,121.9,112.4,45.4,28.1,8.2,4.3,13.2,0.491,0.383,0.776
1610612740,New Orleans Pelicans,2025,21,61,0.256,109.8,119.2,43.6,25.8,8.5,5.2,14.6,0.452,0.347,0.754
1610612741,Chicago Bulls,2025,39,43,0.476,117.8,119.39999999999999,45.9,29.1,7.6,4.7,14.7,0.47,0.367,0.809
1610612742,Dallas Mavericks,2025,39,43,0.476,114.2,115.4,43.0,25.2,7.8,5.4,14.0,0.479,0.364,0.77
1610612743,Denver Nuggets,2025,50,32,0.61,120.8,116.89999999999999,45.7,31.0,8.0,4.9,14.3,0.506,0.376,0.77
1610612744,Golden State Warriors,2025,48,34,0.585,113.8,110.5,45.4,29.1,9.4,4.8,14.0,0.451,0.364,0.764
1610612745,Houston Rockets,2025,52,30,0.634,114.3,109.8,48.5,23.3,8.4,5.0,13.9,0.455,0.353,0.738
1610612746,LA Clippers,2025,50,32,0.61,112.9,108.2,43.8,25.2,9.4,4.5,14.9,0.482,0.373,0.797
1610612747,Los Angeles Lakers,2025,50,32,0.61,113.4,112.2,42.4,26.0,7.7,4.5,14.0,0.479,0.366,0.785
1610612748,Miami Heat,2025,37,45,0.451,110.6,110.0,43.4,26.4,8.1,3.8,13.6,0.465,0.367,0.791
1610612749,Milwaukee Bucks,2025,48,34,0.585,115.5,113.0,43.4,25.5,7.3,4.7,13.4,0.486,0.387,0.75
1610612750,Minnesota Timberwolves,2025,49,33,0.598,114.3,109.3,44.3,26.1,8.0,5.0,14.5,0.468,0.377,0.789
1610612751,Brooklyn Nets,2025,26,56,0.317,105.1,112.19999999999999,41.3,25.2,7.8,4.3,15.2,0.437,0.344,0.787
1610612752,New York Knicks,2025,51,31,0.622,115.8,111.7,42.6,27.5,8.2,4.0,13.3,0.486,0.369,0.8
1610612753,Orlando Magic,2025,41,41,0.5,105.4,105.5,41.8,23.0,8.9,6.0,14.2,0.445,0.318,0.775
1610612754,Indiana Pacers,2025,50,32,0.61,117.4,115.2,41.8,29.2,8.5,5.5,13.2,0.488,0.368,0.789
1610612755,Philadelphia 76ers,2025,24,58,0.293,109.6,115.8,39.8,23.2,9.2,4.5,13.6,0.454,0.341,0.78
1610612756,Phoenix Suns,2025,36,46,0.439,113.6,116.6,42.5,27.8,7.2,4.8,14.1,0.478,0.378,0.81
1610612757,Portland Trail Blazers,2025,36,46,0.439,110.9,113.9,44.8,23.8,8.3,5.3,16.0,0.45,0.342,0.762
1610612758,Sacramento Kings,2025,40,42,0.488,115.7,115.2,44.2,26.5,7.6,4.4,13.3,0.478,0.357,0.806
1610612759,San Antonio Spurs,2025,34,48,0.415,113.9,116.7,43.7,28.6,8.2,5.5,13.9,0.465,0.357,0.774
1610612760,Oklahoma City Thunder,2025,68,14,0.829,120.5,107.6,44.8,26.9,10.3,5.7,11.7,0.482,0.374,0.819
1610612761,Toronto Raptors,2025,30,52,0.366,110.9,115.2,45.1,28.5,8.1,4.2,15.3,0.458,0.348,0.748
1610612762,Utah Jazz,2025,17,65,0.207,111.9,121.2,45.4,25.5,6.8,4.4,17.2,0.454,0.35,0.774
1610612763,Memphis Grizzlies,2025,48,34,0.585,121.7,116.8,47.3,28.4,8.9,5.6,15.7,0.479,0.367,0.786
1610612764,Washington Wizards,2025,18,64,0.22,108.0,120.4,43.7,25.1,7.6,5.1,15.6,0.439,0.335,0.778
1610612765,Detroit Pistons,2025,44,38,0.537,115.5,113.6,44.8,26.4,8.0,5.3,14.9,0.476,0.362,0.774
1610612766,Charlotte Hornets,2025,19,63,0.232,105.1,114.19999999999999,45.2,24.3,7.4,4.5,15.5,0.43,0.339,0.783
